epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,153.87,1.26596,0.70942,0.75084,0.9657,0.97627,0.97154,0.61594,1.28957,0.59605,0.74778,0.000263978,0.000263978,0.000263978
71,156.018,1.33567,0.75447,0.75354,0.96465,0.97434,0.97222,0.63355,1.25338,0.59013,0.74258,0.000255731,0.000255731,0.000255731
72,158.205,1.26411,0.71276,0.76215,0.96131,0.9659,0.97091,0.62115,1.26509,0.59239,0.74471,0.000247484,0.000247484,0.000247484
73,160.357,1.26914,0.69553,0.7575,0.96536,0.97528,0.97163,0.63167,1.24607,0.5826,0.7448,0.000239238,0.000239238,0.000239238
74,162.515,1.24787,0.70263,0.75453,0.96826,0.97512,0.97108,0.62619,1.224,0.58654,0.74437,0.000230991,0.000230991,0.000230991
75,164.654,1.29193,0.71428,0.75278,0.96523,0.97576,0.97188,0.63125,1.22663,0.56977,0.74535,0.000222744,0.000222744,0.000222744
76,166.871,1.25687,0.69417,0.75417,0.96612,0.96741,0.97268,0.62781,1.26405,0.59358,0.74945,0.000214497,0.000214497,0.000214497
77,169.034,1.25637,0.71516,0.75657,0.96887,0.97146,0.97428,0.63178,1.20888,0.56177,0.74337,0.000206251,0.000206251,0.000206251
78,171.186,1.29906,0.71828,0.752,0.96476,0.96996,0.97218,0.62987,1.23145,0.58534,0.74716,0.000198004,0.000198004,0.000198004
79,173.331,1.26424,0.67828,0.7495,0.96456,0.9709,0.97072,0.63529,1.23609,0.57169,0.74256,0.000189757,0.000189757,0.000189757
80,175.497,1.27179,0.69413,0.75154,0.96666,0.97268,0.97158,0.64421,1.20012,0.56597,0.74465,0.000181511,0.000181511,0.000181511
81,177.655,1.22667,0.6747,0.75172,0.96696,0.974,0.97248,0.63177,1.22062,0.5723,0.74639,0.000173264,0.000173264,0.000173264
82,179.853,1.20165,0.6691,0.75316,0.96529,0.97575,0.97261,0.64071,1.20335,0.56332,0.74451,0.000165017,0.000165017,0.000165017
83,182.01,1.28396,0.6876,0.75081,0.96318,0.97058,0.97175,0.64063,1.24718,0.57356,0.74237,0.000156771,0.000156771,0.000156771
84,184.179,1.22447,0.66196,0.74976,0.96338,0.97277,0.97278,0.6368,1.19986,0.56182,0.74596,0.000148524,0.000148524,0.000148524
85,186.326,1.25496,0.68578,0.74984,0.96502,0.97192,0.97145,0.63787,1.20028,0.55985,0.74607,0.000140277,0.000140277,0.000140277
86,188.541,1.27685,0.70019,0.75089,0.96358,0.97242,0.97231,0.64474,1.19528,0.55302,0.7444,0.000132031,0.000132031,0.000132031
87,190.689,1.24324,0.66413,0.7544,0.96657,0.97456,0.97444,0.64909,1.17583,0.55326,0.74359,0.000123784,0.000123784,0.000123784
88,192.891,1.23923,0.68615,0.75425,0.96392,0.9775,0.97393,0.64551,1.21719,0.55427,0.7432,0.000115537,0.000115537,0.000115537
89,195.041,1.1867,0.65964,0.75447,0.96161,0.97583,0.97345,0.63726,1.20752,0.55991,0.7435,0.00010729,0.00010729,0.00010729
90,197.192,1.25478,0.68451,0.75248,0.96503,0.97483,0.97404,0.63076,1.27948,0.57063,0.74184,9.90437e-05,9.90437e-05,9.90437e-05
91,218.36,1.08069,0.65437,0.76103,0.96038,0.97444,0.973,0.64071,1.21109,0.567,0.74329,9.0797e-05,9.0797e-05,9.0797e-05
92,220.514,1.09452,0.6393,0.76081,0.96503,0.97208,0.97317,0.63497,1.21104,0.57776,0.74656,8.25503e-05,8.25503e-05,8.25503e-05
93,222.748,1.07733,0.61037,0.76212,0.96841,0.9715,0.97221,0.62367,1.26765,0.5696,0.74557,7.43036e-05,7.43036e-05,7.43036e-05
94,224.917,1.05864,0.60457,0.76601,0.96948,0.9706,0.97225,0.64101,1.19831,0.55966,0.74348,6.60569e-05,6.60569e-05,6.60569e-05
95,227.143,1.0709,0.60991,0.75994,0.96394,0.97193,0.97296,0.63881,1.20301,0.56724,0.74464,5.78102e-05,5.78102e-05,5.78102e-05
96,229.314,1.05089,0.60565,0.75779,0.9646,0.97303,0.97299,0.63678,1.20174,0.5601,0.74376,4.95635e-05,4.95635e-05,4.95635e-05
97,231.48,1.07215,0.60496,0.76073,0.96612,0.97205,0.9723,0.63108,1.22976,0.57123,0.7462,4.13168e-05,4.13168e-05,4.13168e-05
98,233.669,1.05868,0.59122,0.76099,0.9662,0.97406,0.97252,0.63902,1.20395,0.55802,0.74477,3.30701e-05,3.30701e-05,3.30701e-05
99,235.909,1.03648,0.58911,0.76278,0.96571,0.97493,0.97279,0.63357,1.21685,0.56394,0.74636,2.48234e-05,2.48234e-05,2.48234e-05
100,238.111,1.01783,0.58742,0.75341,0.96718,0.97487,0.97272,0.64313,1.19958,0.55148,0.74415,1.65767e-05,1.65767e-05,1.65767e-05
