epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,233.384,1.21347,0.4921,0.72775,0.91575,0.76119,0.77133,0.39477,1.77586,0.76842,0.77234,0.000622615,0.000622615,0.000622615
59,237.695,1.16958,0.48558,0.73184,0.81862,0.7043,0.71361,0.3462,1.95883,0.83755,0.79022,0.000608468,0.000608468,0.000608468
60,241.656,1.17515,0.48052,0.73125,0.92244,0.74709,0.77633,0.44783,1.53716,0.83399,0.75996,0.000594321,0.000594321,0.000594321
61,245.636,1.16684,0.48245,0.73553,0.91941,0.76787,0.80302,0.42059,1.66925,0.7221,0.77056,0.000580174,0.000580174,0.000580174
62,249.659,1.20121,0.47864,0.73032,0.86566,0.76584,0.77776,0.37286,1.82546,0.77228,0.77657,0.000566027,0.000566027,0.000566027
63,253.781,1.17838,0.48031,0.72917,0.89304,0.73531,0.75776,0.37779,1.78112,0.75988,0.77485,0.00055188,0.00055188,0.00055188
64,257.863,1.15929,0.48245,0.73224,0.83411,0.72994,0.73641,0.37308,1.87912,0.81588,0.78338,0.000537733,0.000537733,0.000537733
65,261.818,1.18836,0.48067,0.73008,0.89655,0.75788,0.77832,0.3935,1.76057,0.80863,0.77511,0.000523586,0.000523586,0.000523586
66,265.745,1.19135,0.48155,0.73104,0.93203,0.76066,0.7837,0.42899,1.63272,0.76535,0.76494,0.000509438,0.000509438,0.000509438
67,269.81,1.18862,0.48015,0.73201,0.85941,0.72295,0.75396,0.35806,1.98393,0.82503,0.78677,0.000495291,0.000495291,0.000495291
68,274.221,1.18754,0.47766,0.73228,0.91683,0.76216,0.78157,0.37237,1.9169,0.80341,0.78443,0.000481144,0.000481144,0.000481144
69,278.493,1.1561,0.46649,0.73233,0.87085,0.74126,0.76298,0.32444,2.08492,0.87502,0.79052,0.000466997,0.000466997,0.000466997
70,282.72,1.14361,0.46485,0.72921,0.94609,0.75991,0.78694,0.38248,1.80487,0.78855,0.7781,0.00045285,0.00045285,0.00045285
71,286.75,1.12714,0.46159,0.73141,0.92774,0.76046,0.77751,0.40423,1.72073,0.79802,0.76898,0.000438703,0.000438703,0.000438703
72,290.64,1.16451,0.47638,0.73044,0.86978,0.74552,0.75498,0.37852,1.81005,0.80544,0.77702,0.000424556,0.000424556,0.000424556
73,294.577,1.15547,0.47022,0.73169,0.92862,0.74782,0.77651,0.38036,1.81938,0.82432,0.77701,0.000410409,0.000410409,0.000410409
74,298.485,1.17813,0.46899,0.72626,0.92321,0.74818,0.77047,0.40389,1.7384,0.79073,0.76687,0.000396262,0.000396262,0.000396262
75,302.414,1.14266,0.4718,0.7322,0.87105,0.72207,0.7425,0.34211,2.00259,0.84275,0.79172,0.000382115,0.000382115,0.000382115
76,306.299,1.15624,0.46738,0.73331,0.89988,0.74034,0.76096,0.37577,1.85784,0.78959,0.78127,0.000367967,0.000367967,0.000367967
77,310.182,1.15138,0.46851,0.72914,0.83633,0.71317,0.72654,0.35164,1.96419,0.83187,0.78634,0.00035382,0.00035382,0.00035382
78,314.098,1.10099,0.45287,0.73784,0.83793,0.70921,0.71745,0.29619,2.15503,0.8943,0.79393,0.000339673,0.000339673,0.000339673
79,317.973,1.12244,0.46157,0.73302,0.90808,0.74742,0.75823,0.35855,1.92414,0.81873,0.78109,0.000325526,0.000325526,0.000325526
80,321.923,1.13127,0.45728,0.73556,0.90177,0.75448,0.76553,0.39421,1.75588,0.81248,0.76898,0.000311379,0.000311379,0.000311379
81,325.87,1.10524,0.45403,0.73493,0.90425,0.7606,0.76947,0.3777,1.85254,0.81955,0.77431,0.000297232,0.000297232,0.000297232
82,329.711,1.10732,0.45121,0.73572,0.94118,0.76482,0.78212,0.40421,1.74156,0.77324,0.76977,0.000283085,0.000283085,0.000283085
83,333.609,1.13862,0.46663,0.72369,0.83615,0.73993,0.73991,0.34078,2.00912,0.8106,0.78699,0.000268938,0.000268938,0.000268938
